id,token0_symbol,token0_id,token1_symbol,token1_id
0xeedcd34acd9f87aae1eb47f06e42868e81ad2924,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DDS,0xf9fbaefde7112f78fa9bfe813341f0f49f888cb3
0x1bfffb738d69167d5592160a47d5404a3cf5a846,KEX,0x16980b3b4a3f9d89e33311b5aa8f80303e5ca4f8,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7b890092f81b337ed68fba266afc7b4c3710a55b,NFTX,0x87d73e916d7057945c9bcd8cdd94e42a6f47f776,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x767055e2a9f15783b1ec5ef134a89acf3165332f,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,EURS,0xdb25f211ab05b1c97d595516f45794528a807ad8
0xe7607a563105f7dba8beb87ad7f5b3a9ec793958,INFI,0x159751323a9e0415dd3d6d42a1212fe9f4a0848c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x6a0d8a35cda1f0d3534a346394661ed02e9a4072,BSOCIAL,0x26a79bd709a7ef5e5f747b8d8f83326ea044d8cc,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x8cb77ea869def8f7fdeab9e4da6cf02897bbf076,AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x7894dae584dfa3a5d60a13bafc25ee0b43124e7e,PBR,0x0d6ae2a429df13e44a07cd2969e085e4833f64a0,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xfcad5c316f5618a79852f89e1a9b18103e48a456,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ZINU,0xc50ef449171a51fbeafd7c562b064b6471c36caa
0x1be574041828303f0bfb5d06a2414f3bd6da1b2a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,HUSKY,0xd5281bb2d1ee94866b03a0fccdd4e900c8cb5091
0x9ec5149472db6acffb9023a47d37b4ecbcf68a4b,ELONONE,0x97b65710d03e12775189f0d113202cc1443b0aa2,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x12de8a435ff54f3e00951ef04119ff0e6a717bff,DVI,0x10633216e7e8281e33c86f02bf8e565a635d9770,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd058416f4c83a4f187631c454f872b076c0a7642,ZOOT,0x1341a2257fa7b770420ef70616f888056f90926c,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x54d16d35ca16163bc681f39ec170cf2614492517,OIN,0x9aeb50f542050172359a0e1a25a9933bc8c01259,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x04b6be23297548d828c3c4e4b7fb3f4a67d2dae3,ETHPAD,0x8db1d28ee0d822367af8d220c0dc7cb6fe9dc442,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0x4423be2173401e96065953a3e962ba7b8fdba68a,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,renFIL,0xd5147bc8e386d91cc5dbe72099dac6c9b99276f5
0xdc93e9f3e9d895323c83480d97410ab1246f7eb4,Coval,0x3d658390460295fb963f54dc0899cfb1c30776df,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x8c07e1dfede38b1908698988b4202a87e0d7a0f7,SIDUS,0x549020a9cb845220d66d3e9c6d9f9ef61c981102,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xa6be7f7c6c454b364cda446ea39be9e5e4369de8,ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
0xd75d1b30967d94b105f82f572ae7591cc3c48beb,CLS,0x675bbc7514013e2073db7a919f6e4cbef576de37,USDC,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
